model,preprocessing,vectorization,n_features,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time,device
Random Forest,clean_basic,tfidf,45667,0.6963428760549396,0.13929162528963918,0.19995248277500594,0.16419861476929082,0.48508890521602793,0.6963428760549396,0.5718285367896284,0.192287,CPU
Logistic Regression,clean_standard,binarized,44735,0.722654310772795,0.4774304797925156,0.42380653531652823,0.4458230693631512,0.7045440236199453,0.722654310772795,0.7123797491624858,11.729071,CPU
Linear SVC,clean_standard,binarized,44735,0.6989905675988747,0.4496002579710073,0.4071297591956025,0.42487571433287696,0.689979331903352,0.6989905675988747,0.6939193155709285,2.445548,CPU
Multinomial NB,clean_standard,binarized,44735,0.6999834519278504,0.4530269669286243,0.2936972389170386,0.29677039354923235,0.683320737627695,0.6999834519278504,0.6797675018672082,0.008069,CPU
Random Forest,clean_standard,binarized,44735,0.6966738374979314,0.23934779010097668,0.2001719690455718,0.16459700617607034,0.581511541068187,0.6966738374979314,0.5723506222780148,0.149899,CPU
Logistic Regression,clean_standard,frequency,44735,0.7416845937448288,0.5029279502369173,0.4183800408019782,0.4480134371799254,0.7055669360983414,0.7416845937448288,0.7173312099682713,13.841576,CPU
Linear SVC,clean_standard,frequency,44735,0.707099122952176,0.4769739880027001,0.42862036615758364,0.4486629912864877,0.7009760164777475,0.707099122952176,0.7033965389492416,3.394008,CPU
Multinomial NB,clean_standard,frequency,44735,0.707099122952176,0.482828751464651,0.33475864288964424,0.3355725531335982,0.7154410467032083,0.707099122952176,0.7012635128944853,0.009502,CPU
Random Forest,clean_standard,frequency,44735,0.6968393182194275,0.2317770123740273,0.20084174537345456,0.16631467119517013,0.5745326942851647,0.6968393182194275,0.5740543807131051,0.168404,CPU
Logistic Regression,clean_standard_lemma,binarized,35744,0.7228197914942909,0.485976840801232,0.4305884169358591,0.45347596200277096,0.6970749445609601,0.7228197914942909,0.7073938959734343,7.93831,CPU
Linear SVC,clean_standard_lemma,binarized,35744,0.6956809531689558,0.4465935048760121,0.40751469863709466,0.42403914290659517,0.6801494749093348,0.6956809531689558,0.6870027730325885,1.775117,CPU
Multinomial NB,clean_standard_lemma,binarized,35744,0.6976667218269071,0.5401372741912305,0.2989058997797324,0.3036552538943288,0.6932703748283362,0.6976667218269071,0.6800453734760832,0.005616,CPU
Random Forest,clean_standard_lemma,binarized,35744,0.6963428760549396,0.1893277032621295,0.20007693459558368,0.16455040948487784,0.5333280680376493,0.6963428760549396,0.5721898303517734,0.137586,CPU
Logistic Regression,clean_standard_lemma,frequency,35744,0.7342379612775112,0.4890583010910049,0.4398918064618881,0.458703605332128,0.7026639929599455,0.7342379612775112,0.7136908517363983,8.554188,CPU
Linear SVC,clean_standard_lemma,frequency,35744,0.6975012411054112,0.4549636015113608,0.4118245329569256,0.4302119381649189,0.6841509870812381,0.6975012411054112,0.6901459619424826,1.904664,CPU
Multinomial NB,clean_standard_lemma,frequency,35744,0.6958464338904518,0.4900598669591208,0.3144563754333817,0.3210504261427177,0.6963225383978393,0.6958464338904518,0.685464547900347,0.010172,CPU
Random Forest,clean_standard_lemma,frequency,35744,0.6966738374979314,0.23936082132803443,0.20029642086614957,0.16493220070277678,0.581556922860911,0.6966738374979314,0.5726555879865899,0.134306,CPU
Logistic Regression,clean_standard_lemma,tfidf,35744,0.7348998841634949,0.5585233062564141,0.35008002479385775,0.3914061624382203,0.6923378989886864,0.7348998841634949,0.6982209249860737,0.431288,CPU
Linear SVC,clean_standard_lemma,tfidf,35744,0.7340724805560153,0.5129764257122734,0.41427234171856986,0.448137070069918,0.6981473884806354,0.7340724805560153,0.7096733008235401,0.310203,CPU
Multinomial NB,clean_standard_lemma,tfidf,35744,0.6968393182194275,0.18966461896065084,0.2007172935528768,0.1661159493660847,0.5345013910353957,0.6968393182194275,0.5742449207932255,0.006081,CPU
Random Forest,clean_standard_lemma,tfidf,35744,0.6965083567764355,0.1393016713552871,0.2,0.16422161529457666,0.4851238910594104,0.6965083567764355,0.5719086370799877,0.149424,CPU
Logistic Regression,clean_standard_stopwords,binarized,44478,0.7176898891279166,0.4632025803372076,0.41283048034692627,0.43379657126280247,0.6973552914441918,0.7176898891279166,0.7061030438723637,9.656841,CPU
Linear SVC,clean_standard_stopwords,binarized,44478,0.6956809531689558,0.45803537417027035,0.4112175315229621,0.43070090183792475,0.6862912916324998,0.6956809531689558,0.6903580011279143,2.162403,CPU
Multinomial NB,clean_standard_stopwords,binarized,44478,0.7027966241932815,0.48057109069960974,0.30975492214621614,0.3154297008975341,0.6948045952754389,0.7027966241932815,0.687852251118191,0.007839,CPU
Random Forest,clean_standard_stopwords,binarized,44478,0.6963428760549396,0.20600739881839764,0.20020138641616142,0.16488500926815397,0.5494112816150662,0.6963428760549396,0.5724941976904983,0.141509,CPU
Logistic Regression,clean_standard_stopwords,frequency,44478,0.7368856528214462,0.5303971958412117,0.4550460472865012,0.4852884329026982,0.7109431443435918,0.7368856528214462,0.7204989560867623,10.836742,CPU
Linear SVC,clean_standard_stopwords,frequency,44478,0.7026311434717856,0.47869548780742355,0.4312146530222809,0.4512119012571814,0.6955712524878639,0.7026311434717856,0.6985263476619537,2.143575,CPU
Multinomial NB,clean_standard_stopwords,frequency,44478,0.7051133542942247,0.5005130721742915,0.3284131666959447,0.33499972340822454,0.7078578397190615,0.7051133542942247,0.696422892587631,0.008049,CPU
Random Forest,clean_standard_stopwords,frequency,44478,0.6963428760549396,0.1893277032621295,0.20007693459558368,0.16455040948487784,0.5333280680376493,0.6963428760549396,0.5721898303517734,0.14507,CPU
Logistic Regression,clean_standard_stopwords_lemma,binarized,37338,0.7216614264438193,0.48142336403703634,0.426754227097457,0.44901530731193173,0.6946470629380095,0.7216614264438193,0.7054721768294119,9.325797,CPU
Linear SVC,clean_standard_stopwords_lemma,binarized,37338,0.6915439351315572,0.4386876107702024,0.40157241526921866,0.4175571082069311,0.6766216366667939,0.6915439351315572,0.6833419832164821,1.870413,CPU
